None,296.76,0.0,0.0,75,Clouds,broken clouds,2018-08-20 13:00:00,4690
None,293.26,0.0,0.0,20,Clouds,few clouds,2016-07-26 05:00:00,2889
None,285.08,0.0,0.0,1,Clear,sky is clear,2016-11-06 22:00:00,1308
None,290.88,0.0,0.0,0,Clear,Sky is Clear,2014-06-16 01:00:00,444
None,263.15,0.0,0.0,90,Clouds,overcast clouds,2014-01-15 16:00:00,6252
None,291.08,0.0,0.0,90,Drizzle,drizzle,2017-06-28 09:00:00,4930
None,296.21,0.0,0.0,75,Clouds,broken clouds,2018-06-14 11:00:00,4810
None,265.93,0.0,0.0,90,Clouds,overcast clouds,2012-11-13 04:00:00,775
None,267.79,0.0,0.0,90,Haze,haze,2016-01-21 12:00:00,4906
None,291.03,0.0,0.0,36,Clouds,scattered clouds,2013-08-13 02:00:00,311
None,248.51,0.0,0.0,1,Snow,light snow,2016-01-11 03:00:00,284
None,298.86,0.0,0.0,75,Clouds,broken clouds,2018-06-01 18:00:00,4926
None,290.41,2.29,0.0,76,Rain,moderate rain,2016-09-23 18:00:00,4356
None,286.86,0.0,0.0,90,Rain,moderate rain,2013-09-15 04:00:00,295
None,291.44,0.0,0.0,90,Mist,mist,2016-06-04 18:00:00,4333
None,277.15,0.0,0.0,90,Mist,mist,2015-12-12 16:00:00,5084
None,289.27,0.0,0.0,36,Clouds,scattered clouds,2016-08-14 07:00:00,1021
None,287.43,0.0,0.0,90,Clouds,overcast clouds,2018-06-03 07:00:00,1519
None,294.73,0.0,0.0,90,Rain,light rain,2017-06-11 17:00:00,4137
None,271.94,0.0,0.0,1,Clear,sky is clear,2017-10-29 00:00:00,1622
None,276.29,0.0,0.0,90,Drizzle,light intensity drizzle,2017-11-17 17:00:00,5965
None,264.79,0.0,0.0,75,Clouds,broken clouds,2018-01-07 08:00:00,1695
None,288.23,0.0,0.0,90,Rain,moderate rain,2015-08-19 10:00:00,4458
None,258.33,0.0,0.0,1,Haze,haze,2013-03-21 08:00:00,6005
None,292.73,0.0,0.0,75,Clouds,broken clouds,2015-09-10 17:00:00,6184
None,278.75,0.0,0.0,90,Rain,light rain,2017-03-30 00:00:00,581
